mbid;originalhash;myhash;themhash;status
Settlements.Settlement.name.village_EN3_1;-1045589845;-1045589845;-74521965;UseMy
Settlements.Settlement.name.village_EN3_3;22452756;22452756;356961165;UseMy
Settlements.Settlement.name.village_EN4_2;699741602;699741602;-1391471762;UseMy
Settlements.Settlement.name.village_EN4_4;31252862;31252862;340895048;UseMy
Settlements.Settlement.name.village_EN5_1;-1548385384;-1548385384;559967723;UseMy
Settlements.Settlement.name.village_EN5_2;1137638658;1137638658;-1162071294;UseMy
Settlements.Settlement.name.village_EN5_4;-1243805809;-1243805809;-1125597373;UseMy
Settlements.Settlement.name.village_EN6_1;2122064443;2122064443;763410315;UseMy
Settlements.Settlement.name.village_EN6_2;422950620;398425328;-1313737877;UseMy
Settlements.Settlement.name.village_ES1_2;-869852707;-869852707;1428432000;UseMy
Settlements.Settlement.name.village_ES1_3;376227254;376227254;821297903;UseMy
Settlements.Settlement.name.village_ES1_4;218373489;218373489;-69148026;UseMy
Settlements.Settlement.name.village_ES2_2;981891118;981891118;1560633968;UseMy
Settlements.Settlement.name.village_ES2_3;127467098;127467098;-1893535109;UseMy
Settlements.Settlement.name.village_ES2_4;-792698989;-792698989;-1238575077;UseMy
Settlements.Settlement.name.village_ES3_1;476415869;476415869;774307628;UseMy
Settlements.Settlement.name.village_ES3_2;1594939967;1594939967;101167059;UseMy
Settlements.Settlement.name.village_ES3_3;1456187346;1456187346;-1803802978;UseMy
Settlements.Settlement.name.village_ES4_1;-612395051;-612395051;-278622402;UseMy
Settlements.Settlement.name.village_ES4_3;-1006526901;-1006526901;1024930207;UseMy
Settlements.Settlement.name.village_ES5_1;-618953359;-618953359;-640924863;UseMy
Settlements.Settlement.name.village_ES5_2;-1596676569;-1596676569;-1201884680;UseMy
Settlements.Settlement.name.village_ES5_3;-898566681;-898566681;743237877;UseMy
Settlements.Settlement.name.village_ES6_1;-973858871;-973858871;1697121591;UseMy
Settlements.Settlement.name.village_ES6_2;-135653168;-135653168;1612000789;UseMy
Settlements.Settlement.name.village_ES7_1;42109938;42109938;481031434;UseMy
Settlements.Settlement.name.village_ES7_2;1004354123;1004354123;771110923;UseMy
Settlements.Settlement.name.village_EW1_1;1606720183;1606720183;1479803605;UseMy
Settlements.Settlement.name.village_EW1_2;-735630454;-735630454;85864530;UseMy
Settlements.Settlement.name.village_EW2_2;-790556548;-790556548;-1338395209;UseMy
Settlements.Settlement.name.village_EW2_3;1525999770;1525999770;-1282006542;UseMy
Settlements.Settlement.name.village_EW2_4;-789846288;-789846288;-1340830463;UseMy
Settlements.Settlement.name.village_EW3_2;2121286797;2121286797;1697256839;UseMy
Settlements.Settlement.name.village_EW3_3;-180064602;-180064602;-1134500253;UseMy
Settlements.Settlement.name.village_EW4_1;-206993304;-206993304;185396088;UseMy
Settlements.Settlement.name.village_EW4_3;-2007111815;-2007111815;-1774034455;UseMy
Settlements.Settlement.name.village_EW4_4;641848655;641848655;106536368;UseMy
Settlements.Settlement.name.village_EW5_1;1467308069;1467308069;658394821;UseMy
Settlements.Settlement.name.village_EW5_2;1447534684;1447534684;1928591726;UseMy
Settlements.Settlement.name.village_EW6_1;-1647081589;-1647081589;-936223191;UseMy
Settlements.Settlement.name.village_EW6_3;-916123497;-916123497;1227618481;UseMy
Settlements.Settlement.name.village_EW6_4;-1159554550;-1159554550;-969922425;UseMy
Settlements.Settlement.name.village_K1_1;1870998945;1870998945;679114768;UseMy
Settlements.Settlement.name.village_K1_2;613702023;613702023;-457352335;UseMy
Settlements.Settlement.name.village_K1_4;-1671551363;-1671551363;1315225593;UseMy
Settlements.Settlement.name.village_K2_1;765557480;765557480;-1058688619;UseMy
Settlements.Settlement.name.village_K2_2;42811532;42811532;1297469472;UseMy
Settlements.Settlement.name.village_K3_1;662722177;662722177;-403875719;UseMy
Settlements.Settlement.name.village_K3_2;-1808727426;-1808727426;-742519728;UseMy
Settlements.Settlement.name.village_K3_3;-1779162431;-1779162431;1881599635;UseMy
Settlements.Settlement.name.village_K4_2;-1244044582;-1244044582;1758520848;UseMy
Settlements.Settlement.name.village_K4_3;2089506878;2089506878;-1185593526;UseMy
